[medicine.notable_person_with_medical_condition]	951
[medicine.notable_person_with_medical_condition] net worth	312
[medicine.notable_person_with_medical_condition] age	232
[medicine.notable_person_with_medical_condition] quotes	208
[medicine.notable_person_with_medical_condition] wife	190
[medicine.notable_person_with_medical_condition] movies	164
[medicine.notable_person_with_medical_condition] 2017	159
[medicine.notable_person_with_medical_condition] height	147
[medicine.notable_person_with_medical_condition] imdb	136
[medicine.notable_person_with_medical_condition] twitter	133
[medicine.notable_person_with_medical_condition] songs	103
[medicine.notable_person_with_medical_condition] biography	102
[medicine.notable_person_with_medical_condition] death	95
[medicine.notable_person_with_medical_condition] husband	93
[medicine.notable_person_with_medical_condition] instagram	89
[medicine.notable_person_with_medical_condition] daughter	80
[medicine.notable_person_with_medical_condition] son	74
[medicine.notable_person_with_medical_condition] young	73
[medicine.notable_person_with_medical_condition] youtube	72
[medicine.notable_person_with_medical_condition] movie	71
[medicine.notable_person_with_medical_condition] images	65
[medicine.notable_person_with_medical_condition] books	61
[medicine.notable_person_with_medical_condition] facebook	58
[medicine.notable_person_with_medical_condition] interview	56
[medicine.notable_person_with_medical_condition] book	56
[medicine.notable_person_with_medical_condition] now	51
[medicine.notable_person_with_medical_condition] tour	50
[medicine.notable_person_with_medical_condition] house	50
[medicine.notable_person_with_medical_condition] family	48
[medicine.notable_person_with_medical_condition] children	47
[medicine.notable_person_with_medical_condition] photos	39
[medicine.notable_person_with_medical_condition] facts	38
[medicine.notable_person_with_medical_condition] cause of death	38
[medicine.notable_person_with_medical_condition] cancer	38
[medicine.notable_person_with_medical_condition] grave	37
[medicine.notable_person_with_medical_condition] funeral	32
[medicine.notable_person_with_medical_condition] jr	30
[medicine.notable_person_with_medical_condition] albums	30
[medicine.notable_person_with_medical_condition] documentary	29
[medicine.notable_person_with_medical_condition] today	28
[medicine.notable_person_with_medical_condition] kids	27
[medicine.notable_person_with_medical_condition] 2016	27
[medicine.notable_person_with_medical_condition] stats	25
[medicine.notable_person_with_medical_condition] sister	25
[medicine.notable_person_with_medical_condition] dead	25
[medicine.notable_person_with_medical_condition] foundation	23
[medicine.notable_person_with_medical_condition] show	22
[medicine.notable_person_with_medical_condition] parents	22
[medicine.notable_person_with_medical_condition] health	21
[medicine.notable_person_with_medical_condition] obituary	19
[medicine.notable_person_with_medical_condition] actor	19
[medicine.notable_person_with_medical_condition] lyrics	18
[medicine.notable_person_with_medical_condition] brother	18
[medicine.notable_person_with_medical_condition] md	17
[medicine.notable_person_with_medical_condition] married	17
[medicine.notable_person_with_medical_condition] films	17
[medicine.notable_person_with_medical_condition] died	17
[medicine.notable_person_with_medical_condition] trump	15
[medicine.notable_person_with_medical_condition] pictures	15
[medicine.notable_person_with_medical_condition] news	15
[medicine.notable_person_with_medical_condition] mother	15
[medicine.notable_person_with_medical_condition] gif	15
[medicine.notable_person_with_medical_condition] baby	15
[medicine.notable_person_with_medical_condition] art	15
[medicine.notable_person_with_medical_condition] museum	14
[medicine.notable_person_with_medical_condition] ms	14
[medicine.notable_person_with_medical_condition] memes	14
